"code_region","departement","hopital","nature","service","etat","autre_precisez","annee_etat","date_etat","date_fin","effectif_total","postes_vacants","site_acquereur","local_devenu","description_victoire","commentaire","destination","nature_destination","prestataire","nb_lits_fermes","transforme_en","ght","ghi","region","id","geom"
"ARA","07","HPDA Guilhérand-Granges - 07","privé","maternité privée","interrompu","à vérifier",2022,"2022-07-01","2022-08-31",NULL,NULL,NULL,NULL,NULL,"Interruption de la dernière maternité privée de Drôme-Ardèche été 2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUVERGNE RHÔNE-ALPES",2824,"0101000020E61000000E2556E3B487134028E48E309D774640"
"ARA","07","Saint Agrève - 07",NULL,"médecine","menacé",NULL,2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Menaces lits de médecine 2013-14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUVERGNE RHÔNE-ALPES",1499,"0101000020E6100000852D774C7B9911402CF4FAD704814640"
"ARA","07","Saint Agrève - 07",NULL,"maternité","fermé",NULL,NULL,"2018-08-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUVERGNE RHÔNE-ALPES",1498,"0101000020E6100000852D774C7B9911402CF4FAD704814640"
"ARA","07","Satillieu - 07",NULL,"EHPAD","menacé",NULL,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUVERGNE RHÔNE-ALPES",2760,"0101000020E61000006FFD65A8EC6E12405552C9194D934640"
"ARA","15","CH H. Mondor Aurillac - 15","public","SMUR","interrompu",NULL,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fermeture temporaire SMUR fin 2019",NULL,NULL,NULL,NULL,NULL,"GHT du Cantal",NULL,"AUVERGNE RHÔNE-ALPES",2315,"0101000020E610000087FA18EA117D0340B9B5179B93764640"
"ARA","15","CH H. Mondor Aurillac - 15","public","réanimation","menacé",NULL,2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Réanimation 2013-2014",NULL,NULL,NULL,NULL,NULL,"GHT du Cantal",NULL,"AUVERGNE RHÔNE-ALPES",2316,"0101000020E610000087FA18EA117D0340B9B5179B93764640"
"ARA","15","CH H. Mondor Aurillac - 15","public","réanimation","réduit (autre)",NULL,2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT du Cantal",NULL,"AUVERGNE RHÔNE-ALPES",2314,"0101000020E610000087FA18EA117D0340B9B5179B93764640"
"ARA","15","CH Mauriac - 15","public","dialyse","fermé",NULL,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT du Cantal",NULL,"AUVERGNE RHÔNE-ALPES",2330,"0101000020E6100000CE0518FBC3A80240111AB7EAE19B4640"
"ARA","15","CH Mauriac - 15","public","chirurgie","fermé",NULL,2009,"2009-02-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT du Cantal",NULL,"AUVERGNE RHÔNE-ALPES",2329,"0101000020E6100000CE0518FBC3A80240111AB7EAE19B4640"
"ARA","15","CH Mauriac - 15","public","urgences","menacé",NULL,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT du Cantal",NULL,"AUVERGNE RHÔNE-ALPES",2331,"0101000020E6100000CE0518FBC3A80240111AB7EAE19B4640"
"ARA","15","CH Mauriac - 15","public","maternité","fermé",NULL,2007,"2007-01-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT du Cantal",NULL,"AUVERGNE RHÔNE-ALPES",2328,"0101000020E6100000CE0518FBC3A80240111AB7EAE19B4640"
"ARA","15","CH Saint-Flour - 15","public","psychiatrie","réduit (lits fermés)",NULL,2017,"2017-06-01",NULL,NULL,NULL,NULL,NULL,NULL,"Réduction psychiatrie de 17 lits juin 2017",NULL,NULL,NULL,"17",NULL,"GHT du Cantal",NULL,"AUVERGNE RHÔNE-ALPES",2311,"0101000020E6100000B219C13751B008407AD81F8E52844640"
"ARA","15","CMC Tronquières Aurillac - 15","privé","réanimation","fermé",NULL,2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AUVERGNE RHÔNE-ALPES",1476,"0101000020E6100000720519EAC96A034013BEC80656744640"
"ARA","26","CH Crest - 26","public","chirurgie","fermé",NULL,2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chirurgie menacée 2011-2012",NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",218,"0101000020E6100000FD4BCD36630714408D8DF33E2B5D4640"
"ARA","26","CH Crest - 26","public","maternité","fermé",NULL,1992,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",217,"0101000020E6100000FD4BCD36630714408D8DF33E2B5D4640"
"ARA","26","CHDN Saint-Vallier - 26","public","urgences","interrompu",NULL,2018,"2018-07-01","2018-07-31",NULL,NULL,NULL,NULL,NULL,"Interruption des Urgences été 2018",NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2333,"0101000020E6100000DF4EC00CF2491340A2279630E5954640"
"ARA","26","CHDN Saint-Vallier - 26","public","médecine physique et de réadaptation","réduit (lits fermés)",NULL,2021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Réduction du service MPR : perte des ¾ des lits 2021",NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2334,"0101000020E6100000DF4EC00CF2491340A2279630E5954640"
"ARA","26","CHDN Saint-Vallier - 26","public","urgences de nuit","fermé","fermé la nuit",2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Urgences de nuit été 2017",NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2332,"0101000020E6100000DF4EC00CF2491340A2279630E5954640"
"ARA","26","CHDN Saint-Vallier - 26","public","psychiatrie","menacé",NULL,2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Menace sur les centres psychiatriques voire plus 2014",NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2335,"0101000020E6100000DF4EC00CF2491340A2279630E5954640"
"ARA","26","CH Valence - 26","public","urgences","menacé",NULL,2019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Grave crise aux urgences 2019",NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",650,"0101000020E610000012194F59B59E134030298190FF744640"
"ARA","26","Die – 26","public","maternité","fermé",NULL,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Maternité fin 2017",NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2317,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
"ARA","26","Die – 26","public","maternité","menacé",NULL,2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2320,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
"ARA","26","Die – 26","public","chirurgie","menacé","à vérifier",2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2323,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
"ARA","26","Die – 26","public","chirurgie de nuit","fermé",NULL,2008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",1677,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
"ARA","26","Die – 26","public","maternité","victoire",NULL,2020,NULL,NULL,NULL,NULL,NULL,NULL,"2020 : victoire au TA début 2020 pour la maternité dont la fermeture a été faite illégalement",NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2327,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
"ARA","26","Die – 26","public","chirurgie d'urgence","maintenu",NULL,2015,NULL,NULL,NULL,NULL,NULL,NULL,"2015  obtention d'une année supplémentaire en 2015 pour maternité et chirurgie d'urgence",NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2326,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
"ARA","26","Die – 26","public","chirurgie","menacé",NULL,2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2321,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
"ARA","26","Die – 26","public","maternité","maintenu",NULL,2011,NULL,NULL,NULL,NULL,NULL,NULL,"2011 5 ans de sursis pour la maternité",NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2319,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
"ARA","26","Die – 26","public","chirurgie","fermé","à vérifier",2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chirurgie fin 2017 ?",NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2318,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
"ARA","26","Die – 26","public","urgences de nuit","menacé",NULL,2018,"2018-03-01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2324,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
"ARA","26","Die – 26","public","maternité","maintenu",NULL,2015,NULL,NULL,NULL,NULL,NULL,NULL,"2015  obtention d'une année supplémentaire en 2015 pour maternité et chirurgie d'urgence",NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2325,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
"ARA","26","Die – 26","public","maternité","menacé","à vérifier",2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GHT Rhône Vercors Vivarais",NULL,"AUVERGNE RHÔNE-ALPES",2322,"0101000020E6100000B678FA8D827C1540482FCB68AE604640"
