nom_hopital;id;id_hopital;suppressions;effectif_total;postes_vacants;service;etat;date_etat;date_fin;annee_etat;nb_lits_fermes;nb_lits_menaces;categorie;commentaire;detail_reduction;autre_etat;description_victoire;local_devenu;transforme_en;prestataire
CASH Nanterre - 92;2228;91;;;;maternité;maintien;;;2011;;;maternité;;;;La mobilisation 2011-2012 stoppe le démantèlement et ouvre un débat sur des projets alternatifs. Gain sur les urgences de nuit, la maternité… et abandon du projet initial (début 2013);;;
CASH Nanterre - 92;2222;91;;;;réanimation;fermeture;;;2015;;;réanimation;;;;;;;
CASH Nanterre - 92;2226;91;;;;chirurgie;menace;;;2011;;;chirurgie;;;;;;;
CASH Nanterre - 92;2223;91;;;;chirurgie;fermeture;;;2016;;;chirurgie;;;;;;;
CASH Nanterre - 92;2227;91;;;;urgences de nuit;maintien;;;2011;;;urgences;;;;La mobilisation 2011-2012 stoppe le démantèlement et ouvre un débat sur des projets alternatifs. Gain sur les urgences de nuit, la maternité… et abandon du projet initial (début 2013);;;
CASH Nanterre - 92;2225;91;;;;réanimation;menace;;;2011;;;réanimation;;;;;;;
CASH Nanterre - 92;2224;91;;;;cardiologie;fermeture;;;2017;;;cardiologie;;;;;;;
CASH Nanterre - 92;2221;91;;;;pneumologie;fermeture;;;2015;;;;;;;;;;
Centre 15 de la Nièvre - 58;277;54;;;;appel 115;transfert;;;2018;;;;A partir de 10h mardi 2 octobre 2018, les appels au centre 15 de la Nièvre sont pris en charge par le CHU de Dijon;;;;;;
Centre 15 de la Nièvre - 58;3056;54;;;;centre 15;menace;;;2017;;;;;;;;;;
Centre Santé du Moulinet 13;2693;442;;;;centre de santé;menace;;;2012;;;;Menace 2012 deux centres de santé Saint-Victor (Ve) et Moulinet (XIIIe) seraient supprimées : acupuncture, allergologie, chiropraxie, hématologie, kiné, médecine du sport, neurologie, pneumologie, psychiatrie, tabacologie et urologie.;;;;;;
Centre Santé du Moulinet 13;2694;442;;;;laboratoire d'analyses médicales;menace;;;2012;;;laboratoire;L’activité du laboratoire d’analyses médicales serait transférée au privé;;;;;;
Centre Santé Olympiade Paris 20;2703;901;;;;centre de santé;maintien;2022-05-01;;2022;;;;;;;La Croix Rouge sous pression retire sa proposition de vente de ses 6 centres de santé au privé (Ramsay) mai 2022;;;
Centre Truchot - Dole - 39;2753;57;;;;EHPAD;fusion;;;-1;;;gériatrie;EHPAD regroupés;;;;;;
CH 3H Santé Cirey-sur-Vezouze - 54;2558;859;;;;soins de suite et rééducation;menace;2022-04-01;;2022;40;;soins de suite et rééducation;Fin programmée des 40 lits de SSR pour avril 2022;à vérifier (fermé ou pas);;;;;
CH Albi - 81;3072;83;;;;urgences;interruption;;;2023;;;urgences;Multiples interruptions aux urgences en mai-juin 2023;;;;;;
CH Albi - 81;1905;83;;;;entretien;sous-traitance;;;2012;;;services annexes;;;;;;;
CH Albi - 81;1904;83;;;;nettoyage;sous-traitance;;;2012;;;services annexes;Nettoyage et entretien privatisés 2012;;;;;;
CH Albi - 81;1907;83;;;;soins longue durée;menace;;;2012;30;;;Menace sur 30 lits USLD 2012;;;;;;
CH Albi - 81;1906;83;;;;IRM;menace;;;2009;;;imagerie médicale;Chute accès IRM 2009 : pas d'accès à l'installation neuve de la clinique Claude Bernard et refus de 0,5 journée.;;;;;;
CH Albi - 81;1903;83;;;;endocrinologie;fermeture;;;2012;;;diabétologie;Endocrinologie complète 2012;;;;;;
CH Albi - 81;1897;83;;;;endocrinologie;réduction;;;2008;16;;diabétologie;Endocrinologie chute de 27 à 11 lits 2008;fermeture de lits;;;;;
CH Albi - 81;1898;83;;;;endocrinologie;réduction;;;-1;4;;diabétologie;Endocrinologie 2009 de 11 à 7 lits transférés cardiologie !;fermeture de lits;;;;cardiologie;
CH Albi - 81;1899;83;;;;ophtalmologie;fermeture;;;2000;;;;;;;;;;
CH Albi - 81;1900;83;;;;otorhinolaryngologie;fermeture;;;2000;;;;;;;;;;
CH Albi - 81;1902;83;;;;urologie;fermeture;;;2008;;;;;;;;;;
CH Albi - 81;1901;83;;;;stomatologie;fermeture;;;2000;;;;;;;;;;
CH Alès-Cévennes - 30;201;44;;;;soins longue durée;transformation;;;-1;;;;;;;;EHPAD;;
CH Alès-Cévennes - 30;524;44;;;;maternité;réduction;;;2020;;;maternité;Maternité menacée par les fermetures de lits en 2020;fermeture de lits;;;;;
CH Ambert - 63;1983;16;;;;SMUR;maintien;2021-11-01;;2021;;;SMUR;;;;;;;
CH Ambert - 63;1982;16;;;;SMUR;maintien;;;2016;;;SMUR;;;;;;;
CH Ambert - 63;1979;16;;;;SMUR;menace;;;2011;;;SMUR;;;;;;;
CH Ambert - 63;1980;16;;;;SMUR;menace;;;2016;;;SMUR;Menace fermeture estivale SMUR et difficultés aux urgences 2016;;;;;;
CH Ambert - 63;1981;16;;;;SMUR;menace;;;2021;;;SMUR;SMUR et Urgences 2021;;;;;;
CH Ambert - 63;1976;16;;;;bloc opératoire;réduction;;;2011;;;bloc opératoire;Fin anesthésie au bloc opératoire 2011;;;;;;
CH Ambert - 63;1978;16;;;;urgences;réduction;;;2021;;;urgences;Réduction des urgences fin 2021;;;;;;
CH Ambert - 63;1984;16;;;;urgences;maintien;2021-11-01;;2021;;;urgences;;;;Maintien du SMUR et des Urgences avec appui CHU de Clermont-Ferrand Novembre 2021;;;
CH Ambert - 63;1972;16;;;;maternité;fermeture;;;2006;;;maternité;;;;;;;
CH Ambert - 63;1975;16;;;;psychiatrie;fermeture;;;1997;;;psychiatrie;;;;;;;
CH Ambert - 63;1973;16;;;;réanimation;fermeture;;;2008;;;réanimation;;;;;;;
CH Ambert - 63;1974;16;;;;chirurgie de nuit et week-end;fermeture;;;2008;;;chirurgie;;;;;;;
CH Ambert - 63;1977;16;;;;chirurgie;fermeture;;;2013;;;chirurgie;;;;;;;
CH Antibes-Juan-les-Pins - 06;2190;727;;;;psychiatrie;réduction;2021-09-01;;2021;15;;psychiatrie;Réduction 15 lits psychiatrie septembre 2021;fermeture de lits;;;;;
CH Armentières;1846;644;;;;gastro-entérologie;fermeture;;;2019;;;;;;;;;;
CH Arpajon - 91;545;113;;;;réanimation;menace;;;2013;;;réanimation;Réanimation 2013-2014;;;;;;
CH Arpajon - 91;546;113;;;;réanimation;maintien;;;2020;;;réanimation;;;;Maintien pour 6 mois du service réanimation - automne 2020, toujours ouvert en 2022;;;
CH Arpajon - 91;3279;113;;;;maternité;réduction;;;2024;;;maternité;Dégradation maternité de nuit en septembre 2024;;;;;;
CH Arpajon - 91;544;113;;;;réanimation;fermeture;;;2015;;;réanimation;Réanimation 2015-2020;;;;;;
CH Asselin-Hédlin Yvetot - 76;510;618;;;;EHPAD;réduction;;;2021;;;gériatrie;EHPAD - Grave crise et suppression de postes 2021;;;;;;
CH Auban-Moët Épernay - 51;694;577;;;;maternité;menace;;;2010;;;maternité;Maternité 2010-2015;;;;;;
CH Auban-Moët Épernay - 51;695;577;;;;maternité;maintien;2011-07-01;2012-10-31;2011;;;maternité;;;;;;;
CH Aubusson- 23;670;409;;;;chirurgie;menace;;;2016;;;chirurgie;;;;;;;
CH Aubusson- 23;671;409;;;;chirurgie;victoire;;;2016;;;chirurgie;;;;manifestations contre la fermeture de la chirurgie, 3 mois de délais obtenus en 2016;;;
CH Auch - 32;2025;59;;;;cardiologie;menace;;;2015;;;cardiologie;Baisse cardiologie 2012 et surtout 2015-16;;;;;;
CH Auch - 32;2028;59;;;;scanner - IRM;maintien;;;2021;;;imagerie médicale;;;;victoire pour Scanner et IRM en 2021-22;;;
CH Auch - 32;2023;59;;;;chirurgie digestive;;;;2015;;;chirurgie;Chirurgie digestive (2015-16);;;;;;
CH Auch - 32;2024;59;;;;gynécologie;menace;;;2012;;;;Baisse gynécologie 2012;;;;;;
CH Auch - 32;2026;59;;;;scanner - IRM;menace;;;2019;;;imagerie médicale;Scanner-IRM 2019-20;;;;;;
CH Auch - 32;2027;59;;;;urgences;menace;;;2021;;;urgences;Grave crise aux urgences 2021;;;;;;
CH Auch - 32;2018;59;;;;pneumologie;réduction;;;2009;;;;Pneumologie (été 2009);;;;;;
CH Auch - 32;2019;59;;;;diabétologie;réduction;;;2009;;;diabétologie;Diabéto été 2009;;;;;;
CH Auch - 32;2017;59;;;;neurologie;réduction;;;2009;;;neurologie;réduction été 2009;;;;;;
CH Auch - 32;2020;59;;;;pédiatrie;réduction;;;2009;;;pédiatrie;réduction été 2009;;;;;;
CH Auch - 32;3026;59;;;;soins de suite et de rééducation;réduction;;;2022;;;gériatrie;Interruption SSR Gériatrie de 45 jours au printemps 2022;;;;;;
CH Auch - 32;2898;59;;;;chirurgie;fermeture;;;2016;;;chirurgie;;;;;;;
CH Auch - 32;2022;59;;;;pneumologie;fermeture;;;2015;;;;Pneumologie (2015 ?);;;;;;
CH Auch - 32;2021;59;;;;rééducation;fermeture;;;-1;;;soins de suite et rééducation;;;;;;;
CH Autun - 71;389;79;;;;maternité;menace;;;2018;;;maternité;Montage CH+Clinique : maintien de la maternité mais seuil des 300 - en sursis 2018;;;;;;
CH Autun - 71;2809;79;;;;maternité;maintien;;;2022;;;maternité;;;;maintien soumis à conditions en 2022;;;
CH Autun - 71;388;79;;;;bloc opératoire;privatisation;;;-1;;;bloc opératoire;Arrêt bloc opératoire du CH vers clinique privée;;;;;;
CH Autun - 71;384;79;;;;chirurgie;menace;;;1994;;;chirurgie;;;;;;;
CH Autun - 71;386;79;;;;chirurgie;menace;;;2011;;;chirurgie;;;;;;;
CH Autun - 71;2974;79;;;;maternité;interruption;;;2023;;;maternité;Interruption maternité pour un mois : mi décembre 2022 – mi janvier 2023;;;;;;
CH Autun - 71;2808;79;;;;maternité;menace;;;2020;;;maternité;Maternité années 2020-2022 et maintien soumis à conditions en 2022;;;;;;
CH Autun - 71;385;79;;;;urgences de nuit;menace;;;1994;;;urgences;;;;;;;
CH Autun - 71;387;79;;;;urgences de nuit;menace;;;2011;;;urgences;;;;;;;
CH Autun - 71;3015;79;;;;maternité;fermeture;;;2023;;;maternité;Fermeture maternité début 2023;;;;;;
CH Autun - 71;390;79;;;;soins longue durée;réduction;2021-12-01;;2021;27;;;Réduction USLD de 54 à 27 lits en décembre 2021;fermeture de lits;;;;;
CH Auxerre - 89;345;232;;;;chirurgie;menace;;;2019;;;chirurgie;Menace chirurgie 2019-2020;;;;;;
CH Auxerre - 89;344;232;;;;hospitalisation de courte durée;interruption;2016-08-01;;2016;;;hospitalisation;Interruption UHCD août 2016;interruption estivale;;;;;
CH Auxerre - 89;656;232;;;;SMUR;menace;;;2020;;;SMUR;;;;;;;
CH Auxerre - 89;655;232;;;;chirurgie;réduction;;;2020;19;;chirurgie;;fermeture de lits;;;;;
CH Auxonne - 21;2469;826;;;;soins de suite et rééducation;interruption;;;2015;;;soins de suite et rééducation;Fermeture temporaire du SSR début 2015;;;;;;
CH Avallon - 89;1602;392;;;;chirurgie;menace;;;2011;;;chirurgie;;;;;;;
CH Avallon - 89;1603;392;;;;urgences de nuit (?);;;;2018;;;urgences;;;;;;;
CH Avallon - 89;1600;392;;;;maternité;fermeture;;;2004;;;maternité;;;;;;;
CH Avallon - 89;1599;392;;;;réanimation;fermeture;;;1999;;;réanimation;;;;;;;
CH Avallon - 89;1598;392;;;;pédiatrie;fermeture;;;1996;;;pédiatrie;;;;;;;
CH Avallon - 89;1601;392;;;;laboratoire;fermeture;;;-1;;;laboratoire;;;;;;;
CH Bagnols-sur-Cèze;3196;961;;;;urgences de nuit;réduction;;;2024;;;urgences;Réduction des urgences : fermetures de 18h30 à 8h durant 5 nuits en début janvier 2024;;;;;;
CH Bagnères de Bigorre - 65;2791;345;;;;urgences de nuit;interruption;;;2022;;;urgences;;;;;;;
CH Bagnères de Bigorre - 65;2792;345;;;;urgences;menace;;;2012;;;urgences;;;;;;;
CH Bagnères de Bigorre - 65;2794;345;;;;urgences de nuit;menace;;;2021;;;urgences;;;;;;;
CH Bagnères de Bigorre - 65;2793;345;;;;urgences;menace;;;2015;;;urgences;;;;;;;
CH Bagnères de Bigorre - 65;3142;345;;;;urgences;interruption;;;2023;;;urgences;Interruptions aux urgences été 2023 et fermeture de l’accueil;;;;;;
CH Bagnères de Bigorre - 65;3246;345;;;;urgences;menace;;;2024;;;urgences;Menaces Urgences été 2024.;;;;;;
CH Bagnères de Bigorre - 65;3073;345;;;;urgences;réduction;;;2023;;;urgences;Réductions aux Urgences de jour saturées et manque de personnels Printemps 2023. Dépendance vis à vis de Tarbes;;;;;;
CH Bagnères de Bigorre - 65;3233;345;;;;urgences;réduction;;;2024;;;urgences;Réduction aux urgences : fermeture de 13 jours  en mai 2024;;;;;;
CH Bagnères de Bigorre - 65;3283;345;;;;urgences;réduction;;;-1;;;urgences;Nouvelle réduction aux urgences faute d’équipements octobre 2024;;;;;;
CH Bagnères de Bigorre - 65;2790;345;;;;buanderie;fermeture;;;2012;;;services annexes;;;;;;;
CH Bagnères de Bigorre - 65;2795;345;;;;urgences de nuit;fermeture;;;2021;;;urgences;Urgences de nuit fermées depuis septembre 2021;;;Urgences de nuit difficilement maintenues en été 2021 : victoire partielle;;;
CH Bailleul - 59;2975;943;;;;maternité;interruption;;;2022;;;maternité;Interruption Maternité pour la Noël 2022;;;;;;
CH Bailleul - 59;2976;943;;;;chirurgie;interruption;;;2022;;;chirurgie;Interruption Chirurgie pour la Noël 2022;;;;;;
CH Bar le Duc - 55;1987;281;;;;maternité;réduction;;;2018;;;maternité;Maternité : passage niveau 2 à 1 en 2018;;;;;;
CH Bar le Duc - 55;1986;281;;;;chirurgie;réduction;;;2009;;;chirurgie;Déficit 2009 et Chute chirurgie publique au profit du privé;;;;;;
CH Bar le Duc - 55;1990;281;;;;urgences;menace;;;2021;;;urgences;Menace sur les urgences fin 2021-2022;;;;;;
CH Bar le Duc - 55;1988;281;;;;maternité;fermeture;2019-06-01;;2019;;;maternité;;;;;;;
CH Bar le Duc - 55;1989;281;;;;pédiatrie;fermeture;2019-06-01;;2019;;;pédiatrie;;;;;;;
CH Bastia;3049;951;;;;unité d'hospitalisation courte;interruption;;;-1;;;soins critiques;Interruption Unité d'hospitalisation courte et de soins continus avril 2023;;;;;;
CH Belvédère -Mont Saint Aignan - 76;637;268;;;;maternité;menace;;;2018;;;maternité;;;;;;;
CH Bergerac - 24;2819;248;;;;maternité;maintien;;;-1;;;maternité;Maternité maintenue à l'hôpital;;;Maternité maintenue à l'hôpital;;;
CH Bergerac - 24;3097;248;;;;urgences de nuit;interruption;;;2023;;;urgences;Interruptions des urgences de nuit dans toute la Dordogne en mai 2023 et remplacement par le 15;;;;;;
CH Bergerac - 24;2818;248;;;;urgences;réduction;2022-07-01;2022-08-31;2022;;;urgences;Réductions des urgences été 2022;réduction estivale;;;;;
CH Bergerac - 24;3077;248;;;;maternité;interruption;;;2023;;;maternité;Interruption durant 10 jours de la maternité  à cause de l'absence du gynécologue-obstétricien;;;;;;
CH Bergerac - 24;3205;248;;;;urgences de nuit;interruption;;;2024;;;urgences;Urgences fermées la nuit, accès par le 15 uniquement en février 2024;;;;;;
CH Bergerac - 24;274;248;;;;pneumologie;fermeture;;;2014;;;;;;;;;;
CH Bernay - 27;3187;581;;;;urgences;menace;;;2024;;;urgences;En 2023-2024 les urgences H24 sont menacées du fait des réductions générales dans l'établissement;;;;;;
CH Bernay - 27;3190;581;;;;cuisine centrale;fermeture;;;2024;;;services annexes;Annonce de la fermeture de la cuisine centrale début 2024;;;;;;
CH Bernay - 27;3185;581;;;;urgences;réduction;;;2023;;;urgences;Réduction des urgences fin 2023 : interdiction de prises en charge des patients se présentant aux urgences par les chirurgiens en poste à Bernay avec fermeture de la stérilisation et du bloc opératoire les soirs, weekends et jours fériés.;;;;;;
CH Bernay - 27;3186;581;;;;cuisine;réduction;;;2023;;;services annexes;La cuisine est également touchée et la production déplacée vers Evreux, siège du GHT en fin 2023;;;;;;
CH Bernay - 27;3188;581;;;;chirurgie;réduction;;;-1;;;chirurgie;Annonce de l’arrêt de l’activité chirurgicale à 18h00 début 2024;;2024;;;;
CH Bernay - 27;3189;581;;;;stérilisation;réduction;;;2024;;;autre;Annonce de l’arrêt du service de stérilisation la nuit, les week-ends et jours fériés début 2024;;;;;;
CH Bernay - 27;3191;581;;;;urgences;réduction;;;2024;;;urgences;Régulation de l’accès aux urgences par le SAMU début 2024;;;;;;
CH Bernay - 27;3264;581;;;;urgences;réduction;;;2024;;;urgences;Nouvelle régulation aux urgences mise en place le 05/08/2024.;;;;;;
CH Bernay - 27;50;581;;;;maternité;fermeture;;;2019;;;maternité;;;;;;;
CH Binet Provins - 77;3263;974;;;;maternité;réduction;;;2024;;;maternité;Maternité réduite du fait du manque de sages-femmes à l’été 2024.;;;;;;
CH Blois - 41;598;182;;;;centre IVG;menace;;;2014;;;IVG;;;;;;;
CH Blois - 41;244;182;;;;maternité;réduction;;;2018;;;maternité;;;;;;;
CH Blois - 41;599;182;;;;centre de planification et d'éducation familiale (CPEF);menace;;;2014;;;;;;;;;;
CH Blois - 41;3083;182;;;;unité d'hospitalisation courte;réduction (lits fermés);;;2023;;;hospitalisation;Réduction de 20 lits d’hospitalisation au printemps 2023;;;;;;
CH Boulogne-sur-Mer - 62;2279;647;;;;SMUR;interruption;2020-07-01;2020-12-31;2020;;;SMUR;Interruption SMUR été 2020;interruption estivale;;;;;
CH Boulogne-sur-Mer - 62;2281;647;;;;urgences de nuit en néonatalogie;réduction;;;2021;;;urgences;;;;;;;
CH Boulogne-sur-Mer - 62;2282;647;;;;urgences;menace;;;2021;;;urgences;Difficultés aux urgences été et fin 2021;;;;;;
CH Boulogne-sur-Mer - 62;3216;647;;;;néonatalité;réduction (lits fermés);;;2024;;;maternité;Réductions des lits en néonatalité en février 2024;;;;;;
CH Boulogne-sur-Mer - 62;3217;647;;;;urgences pédiatriques;fermeture;;;2024;;;urgences;Fermeture des urgences pédiatriques en février 2024;;;;;;
CH Boulogne-sur-Mer - 62;2280;647;;;;addictologie;fermeture;;;2021;;;addictologie;;;;;;;
CH Boutard Saint Yriex - 87;350;302;;;;chirurgie;fermeture;;;-1;;;chirurgie;;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2473;216;;;;cardiologie;menace;;;-1;;;cardiologie;Cardiologie fin 2021;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2472;216;;;;SMUR;menace;;;2021;;;SMUR;2 lignes de SMUR menacées fin 2021;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2471;216;;;;SMUR;menace;;;2015;;;SMUR;;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2969;216;;;;cardiologie;réduction;;;2023;;;cardiologie;Réduction prévue en fin 2022 : perte d'un appareil d'échographie;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2466;216;;;;chirurgie urologie et viscérale;fermeture;;;2009;;;chirurgie;Chir urologie et viscérale 2009 - retour coûteux et échec final;à vérifier;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2474;216;;;;oncologie;menace;;;2022;;;oncologie;Oncologie mi 2022;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2462;216;;;;soins intensifs;transformation;;;2007;;;;USI 2007 transformé en Soins continus;;;;;soins continus;
CH Bouveri-Galuzot Montceau les Mines - 71;2468;216;;;;oncologie;réduction;;;2021;;;oncologie;Réduction Oncologie fin 2021;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2470;216;;;;urgences;menace;;;2015;;;urgences;;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;3114;216;;;;cardiologie;réduction;;;2023;;;cardiologie;;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;3175;216;;;;urgences;interruption;;;2023;;;urgences;Nouvelles interruptions des urgences 30-31/10/2023;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;3115;216;;;;urgences;réduction;;;2023;;;urgences;;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;3116;216;;;;SMUR;réduction;;;2023;;;SMUR;;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2464;216;;;;pédiatrie;fermeture;2009-10-01;;-1;;;pédiatrie;;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2467;216;;;;chirurgie;fermeture;2018-05-01;;-1;;;chirurgie;;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2463;216;;;;maternité;fermeture;2009-10-01;;2009;;;maternité;;;;;;;
CH Bouveri-Galuzot Montceau les Mines - 71;2465;216;;;;urgences pédiatriques;fermeture;2009-10-01;;2009;;;urgences;;;;;;;
CH Brioude - 43;334;388;;;;Chirurgie;menace;;;2010;;;chirurgie;;;;;;;
CH Brioude - 43;335;388;;;;Chirurgie;menace;;;2013;;;chirurgie;;;;;;;
CH Brioude - 43;3306;388;;;;CPP;désorganisation / fragilisation;;;2025;;;maternité;CPP-Centre Périnatalité, créé en 1998, menacé début 2025;;;;;;
CH Brioude - 43;2934;388;;;;Imagerie;victoire;;;2019;;;imagerie médicale;;;;ouverture du scanner en 2019 après 6 ans de mobilisation;;;
CH Brioude - 43;333;388;;;;SLD Soins longue durée;réduction;;;2009;;;soins de suite et rééducation;;;;;;;
CH Brioude - 43;3104;388;;;;urgences;réduction;;;2023;;;urgences;Urgences filtrées début juin 2023;;;;;;
CH Brioude - 43;3150;388;;;;urgences;réduction;;;2023;;;urgences;Réductions aux urgences été 2023;;;;;;
CH Brioude - 43;332;388;;;;Maternité;fermeture;;;1998;;;maternité;;;;;;;
CH Brisset Hirson - 02;1614;278;;;;cardiologie;menace;;;2013;;;cardiologie;;;;;;;
CH Brisset Hirson - 02;1612;278;;;;laboratoire;menace;;;2013;;;laboratoire;;;;;;;
CH Brisset Hirson - 02;1613;278;;;;urgences;menace;;;2013;;;urgences;;;;;;;
CH Brisset Hirson - 02;63;278;;;;chirurgie;fermeture;;;2006;;;chirurgie;;;;;;;
CH Brisset Hirson - 02;62;278;;;;maternité;fermeture;;;2006;;;maternité;Maternité Fin des accouchements;;;;;;
CH Brive - 19;709;15;;;;maternité;ouverture;;;2018;;;maternité;Transfert depuis la Clinique;;;;;;
CH Brive - 19;2950;15;;;;chirurgie;ouverture;;;2020;;;chirurgie;transfert depuis la Clinique;;;;;;
CH Brive - 19;708;15;;;;gériatrie;réduction;;;2019;;;gériatrie;;;;;;;
CH Broussais Paris-14;1640;525;;;;maternité;fermeture;;;1999;;;maternité;;;;;;;
CH Broussais Paris-14;1641;525;;;;centre IVG;fermeture;2009-05-01;;2009;;;IVG;;;;;;;
CH Broussais Saint-Malo - 35;254;594;;;;psychiatrie;fermeture;;;2020;;;psychiatrie;;;;;;;
CH Broussais Saint-Malo - 35;3198;594;;;;fusion;autre;;;2024;;;autre;Fusion Cancale-Dinan- Saint-Malo dès janvier 2024;;;;;;
CH Buëch-Durance Laragne - 05;1570;731;;;;médecine;menace;;;2012;;;médecine;;;;;;;
CH Buëch-Durance Laragne - 05;1569;731;;;;psychiatrie;réduction;;;2018;25;;psychiatrie;transférés vers Gap;;;;;;
CH Buëch-Durance Laragne - 05;1571;731;;;;médecine;réduction;;;2018;4;;médecine;;fermeture de lits;;;;;
CH Camille Blanc Évian - 74;116;13;;;;chirurgie;fermeture;;;2005;;;chirurgie;Chir vers 2005;à vérifier;;;;;
CH Camille Blanc Évian - 74;117;13;;;;maternité;fermeture;;;2005;;;maternité;Maternité vers 2005;;;;;;
CH Cancale - 35;3199;243;;;;fusion;réduction;;;2024;;;autre;Fusion Cancale-Dinan- Saint-Malo dès janvier 2024;;;;;;
